,asins,titles,review_counts,prices
13350,B0040JHKHI,Brooks Defyance 4 Running Shoes (2E Width),1,83.04 - 95.00
13351,B00409KSEA,Saucony ProGrid Triumph 7 (Wide) Running Shoes,2,98.29 - 170.40
13352,B003Z4KEFE,Keen Men's A86 TR Hiking Shoe,227,100.14
13353,B003YMD922,adidas Adizero XT Trail Shoes Black/Red Mens UK4.5,0,29.99
13354,B003YJS9PW,Nike Men Air Zoom Mariah Flyknit Racer Pure Platinum White Size 9.5 US,16,95.23
13355,B003XT5JF6,"BROOKS Cascadia 6 Men's Trail Running Shoes, UK6 - Width D",40,67.58
13356,B003XT5HKI,Brooks Racer ST 5 Racing Shoes,1,69.55 - 86.54
13357,B003XL93VU,Nike Women’s Wmns Lunarepic Flyknit Running Shoes,0,94.99 - 325.38
13358,B003X65IQY,Nike Boys’ Md Runner 2 (Gs) Competition Running Shoes,0,39.71 - 56.09
13359,B003V4BZY2,adidas Performance Men's Mundial Goal Soccer Cleat,198,113.66 - 192.29
13360,B003UHUOJ2,"Men's New Balance, MW577 velcro",0,112.64
13361,B003UHUOHE,New Balance Men's Velcro Shoes MW577 ,0,78.00
13362,B003UHUOAQ,"Men's New Balance, MW577 velcro",0,117.83
13363,B003UHUOAG,"Men's New Balance, MW577 velcro",0,125.88
13364,B003U894H4,"Men's Reebok, Instant DMX running shoes",25,102.48 - 123.00
13365,B003TSEME0,Inov-8 F-Lite 195 Running Shoes,3,
13366,B003SRNZY0,Nike 555250 112 – Football T-Shirt,0,52.12
13367,B003QL0BDG,"Nike Photo, Short Sleeve Men's T-Shirt, Men's, Photo",0,24.01 - 49.31
13368,B003NSC4T6,Saucony ProGrid Kinvara Running Shoes - 6.5,8,69.50
13369,B003KG5IP8,Nike Men’s Air Max Dynasty Running Shoes,1,75.32 - 257.32
13370,B003G4TLTS,Puma Men Complete Spec Tana/184403 01 Color: White/Strong Blue/Black,0,71.98
13371,B003G0QHNA,Saucony Men's Running Shoes White Weiß,0,63.97 - 143.96
13372,B003G0MPH2,Saucony Men's Grid Web/2297 3/11.5,0,108.00
13373,B003FV99EO,Saucony Men's Grid Jazz 10/2748 3/8.5,0,80.00
13374,B003F14BIS,Saucony Men's Grid Shadow 1/8.5/9/2678,0,88.00
13375,B003F12JOG,Saucony Men's Grid X-Terra/2377/1/11,0,60.44
13376,B003ETWRXM,New Balance MR 904 WY white-yellow - 40,0,62.38
13377,B003ETSPZ6,New Balance Men MR904WY Colour: White/Silver/Yellow,0,62.38
13378,B003ESK97O,Saucony Men's Grid Shadow 9/2678 1/12,0,89.76
13379,B003DSGYCE,Nike Free OG '14 – 642402 400 – Blue,5,97.18 - 99.74
13380,B003CRDFEG,Nike Air Max Zero Essential Mens Running Shoes (11 D(M) US),0,90.90
13381,B003C0Q7FW,"Nike Men’s Air Berwuda Running Shoes, Black",0,71.08 - 89.99
13382,B0039UTID8,Saucony Men's Grid Fusion 3 Running Shoe,21,118.36 - 136.34
13383,B0039PUZR6,Columbia Men's MT. Hoody Trail Running Shoe,6,131.20 - 143.48
13384,B0037W5LUC,Nike Mens Total 90 Longer Length Woven Shorts,1,96.96 - 247.81
13385,B00365BZKK,ADIDAS LEICHTATHLETIKShoe adizero MD,0,39.96
13386,B003622T2Q,"Nike Roshe one se - Running Shoes, Man, Color Black (Black/Black-Volt), Size 45",3,120.95
13387,B0033PSIO4,SALOMON,3,113.00
13388,B0033AGKDU,Wilson Classic Dry Mens Striped Polo,0,19.99
13389,B0032TDZA8,Nike Lady Zoom Trainer Essential II X-Training Shoes,166,69.99 - 224.00
13390,B00327P1GG,Mizuno Tempo S Sprint Running Spikes,0,69.69
13391,B00327JEM8,Mizuno Unisex Wave Musha 2 Running Shoes,0,54.99
13392,B0031P3LOS,Brooks Men's Summon Running Shoe,0,65.56
13393,B0030T2POW,Adidas - CP OPTIGON II - Coleur: Blue-White - Taille: 41.3,0,89.00
13394,B002VGWV94,Jordan Flight Runner 2 Men US 8 Gray Running Shoe,3,74.90
13395,B002UOUBXK,New Balance MR904GN - Couleur Gris - Taille 41.5,0,62.38
13396,B002S0MZ3A,"Men's New Balance, MW812",426,126.73
13397,B002PQOJHW,Adidas Men&apos;s Running Shoe Snovariot 2 GTX M (Phanto,0,104.74
13398,B002PJ4W9E,"Adidas Scorch Destroy Fly Mid Football Shoe,black/running White/black,11.5 D Us",3,51.23
13399,B002LKE1CA,Puma Complete Velosis Men LTD/184198 01 Colour: Silver/Orange/Black,0,76.78
13400,B002IX4LM0,Puma Complete Ngong XC 3 Men 183981 02 Orange/Dark Grey/Black,0,33.58
13401,B002HWS196,"BROOKS T6 Racer Unisex Running Shoes (Width D), UK3.5 - Width D",1,49.38
13402,B002HWS18M,"BROOKS T6 Racer Unisex Running Shoes (Width D), UK3 - Width D",1,49.38
13403,B002HWS100,Brooks Unisex Racer ST 4 Running Shoe,2,51.98 - 86.54
13404,B002HWS0Y2,"BROOKS Racer ST 4 Unisex Running Shoes (Width D), UK4.5 - Width D",2,86.54
13405,B002HWRVQU,"BROOKS Glycerin 8 Men's Running Shoes (Width D), UK10.5",1,140.00
13406,B002GOXYVA,Nike Boys' Dry T-Shirt,0,19.98 - 71.39
13407,B002EQARVA,ASICS mens Turbo Ghost 3,3,
13408,B002ECEG8Y,Fox Cross Hose Flexair Preest,0,202.90
13409,B002ECEG7U,Fox Ersatzglas VUE,0,19.32
13410,B002ECEG16,Fox Ersatzglas VUE,0,25.50
13411,B002E9MYU4,NIKE STRETCH DRY-FIT SHORT-SLEEVE MEN'S RUNNING SHIRT,0,72.97
13412,B002CQUG86,Inov8 F-Lite 230 Running Shoes (Precision Fit) - AW14,4,
13413,B002BX71QU,Nike Girls' 890264-063 T-Shirt,0,22.82 - 23.26
13414,B002BN9FNC,Nike Downshifter V Mens Running Shoes DkGrey/Volt/Trq 9.5 UK UK,0,52.95
13415,B0029VR8O4,Champion Sports 8 Inch Soft Sport Soccer Ball,38,7.96
13416,B0029NZD7G,Asics - Mens Hyper Md Track And Field Shoes,34,66.72 - 165.20
13417,B002797OPQ,Nike Elite Si Black 311082 092,1,635.00
13418,B002795BHO,Nike Kids Roshe One (GS) Running Shoe,8,52.90 - 76.90
13419,B002793Y3C,"Nike Air Zoom Fly 2 men39;s running shoes (blue) - EU 45,5 - US 11,5",0,175.76
13420,B00278UCM4,Nike AIR Jordan 1 Retro HIGH BG (GS) - 705300-031 -,0,224.00
13421,B00278U90O,Nike Kids Huarache Run (PS) -UK 2.5,0,54.05
13422,B001YYLR0S,Nike Men's Lunarepic Low Flyknit 2 Rough Green/Black/Palm Green Running Shoe 11 Men US,1,115.00
13423,B001YYLQYU,Nike Men's Lunarepic Low Flyknit 2 Running Shoe,163,99.99 - 279.88
13424,B001YYHON2,Nike Men's Lunarepic Low Flyknit 2 Rough Green/Black/Palm Green Running Shoe 11.5 Men US,1,115.00
13425,B001UI49YY,Nike Air Zoom Pegasus 8 – Rush Maroon/Black/Bright Crims,0,89.41
13426,B001U0PDLA,Saucony Men's Progrid Type A3 Running Shoes,4,122.67
13427,B001SC6NCI,NEW BALANCE M991GL sneaker,0,126.82 - 236.81
13428,B001PDZPBK,Nike Air Vapormax Plus 'Photo Blue' - 924453-401 - Size - 10 -,1,176.00
13429,B001PDWBUI,Nike Modern Tech Woven Men's Shorts,2,38.57 - 171.76
13430,B001PDRVIK,Nike Air Zoom Vomero 12 – Max Orange/Black/Hyper Orange,0,99.99
13431,B001PBG1R4,Reebok Girls’ F/S Hi Trainers,0,39.69 - 51.23
13432,B001P678JO,Mizuno Wave Musha Running Shoes,0,50.00 - 88.71
13433,B001OTZ5RE,Brooks Men's Mach 11 Spikeless Running Shoes,2,38.98
13434,B001OOKI3A,Nike kids laser III training shorts,2,5.81 - 240.73
13435,B001O11GSY,MIZUNO(ミズノ)【85ZT751】スイムタオル 吸水速乾 抗菌防臭加工62レッド F,0,11.53
13436,B001O11F6W,MIZUNO(ミズノ) スイムタオル 蛍光ピンク 85ZT75184,0,11.10
13437,B001O0ZNJS,MIZUNO(ミズノ) スイムタオル レッド 85ZT75062,0,20.85
